ytid,start,end,labels,cifar_class,cifar_label
0m72FCNQQEI,40.0,50.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
1V6XB6jcz7c,20.0,30.0,"/m/014yck,/m/07phhsh,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
2R6B4xm9LL8,100.0,110.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
3klGi-ujenE,90.0,100.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
6szBKwzI1oA,50.0,60.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
8W0KcQLImuo,190.0,200.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
9CRvkgEi72k,90.0,100.0,"/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
9KSO1R50AXY,0.0,10.0,"/m/014yck,/m/07yv9,/m/0cmf2",airplane,0
9Vy7UgCwEkk,10.0,20.0,"/m/02l6bg,/m/07yv9,/m/0cmf2",airplane,0
AqwOCxkhrjI,230.0,240.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
ArIES6ScYzo,330.0,340.0,"/m/07yv9,/m/09ct_,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
GOCs7Ng521Y,110.0,120.0,"/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
HLDmcjeDohc,50.0,60.0,"/m/02cjck,/m/04229,/m/04rlf,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
HgDZJ5h33SI,40.0,50.0,"/m/014yck,/m/02mk9,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
ITRNEOdgHY8,380.0,390.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Igon-95J3W8,0.0,10.0,"/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
J5-mjglse5E,90.0,100.0,"/m/09x0r,/m/0cmf2,/t/dd00128",airplane,0
J5EhyeM_aC0,360.0,370.0,"/m/07hvw1,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
LJCt0UAzBTI,80.0,90.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
LX_FgjpJE60,0.0,10.0,"/m/04229,/m/0cmf2,/m/0k5j",airplane,0
M_SDTIbBhMM,160.0,170.0,"/m/014yck,/m/07yv9,/m/0cmf2,/t/dd00128",airplane,0
N8oL33zAKGo,380.0,390.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
O3T3skdCmJQ,0.0,10.0,"/m/014yck,/m/07yv9,/m/0cmf2,/t/dd00128",airplane,0
OZJ7ZMpGF3k,30.0,40.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
OecEaoBtxpw,350.0,360.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
OndIPDsFbX4,80.0,90.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
PvVTvK5hpy8,280.0,290.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
SbzTJWeo-R8,30.0,40.0,"/m/02l6bg,/m/02mk9,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
VYBRdcKQKQ4,350.0,360.0,"/m/014yck,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
VZ8BUNJYtOo,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
WHW_r9SFmIs,540.0,550.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Wrfvo1eFRFk,70.0,80.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
X-Prd0o2MAA,30.0,40.0,"/m/02l6bg,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
YK4t2OGhddE,30.0,40.0,"/m/02l6bg,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
YpUQ46pPj4c,0.0,10.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
ZAgh7zo2z4k,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
ZBEhTIdIb4g,30.0,40.0,"/m/02l6bg,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
aaQ489FcdAE,300.0,310.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
c0Icfopt8Yw,30.0,40.0,"/m/02l6bg,/m/04rlf,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
c1gDDSTAq1Q,280.0,290.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
ceSv-8p0iW0,30.0,40.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
dAOa3WbL54w,120.0,130.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
dJMmAHoLNY4,20.0,30.0,"/m/02l6bg,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
